iter	Passed	Remaining
833	5816	1157
834	5822	1150
835	5829	1143
836	5836	1136
837	5842	1129
838	5849	1122
839	5855	1115
840	5862	1108
841	5869	1101
842	5876	1094
843	5883	1087
844	5889	1080
845	5896	1073
846	5903	1066
847	5910	1059
848	5917	1052
849	5924	1045
850	5931	1038
851	5938	1031
852	5945	1024
853	5952	1017
854	5959	1010
855	5966	1003
856	5973	996
857	5980	989
858	5987	982
859	5994	975
860	6001	968
861	6008	961
862	6015	954
863	6022	947
864	6029	940
865	6036	934
866	6043	927
867	6050	920
868	6056	913
869	6063	906
870	6070	899
871	6076	891
872	6083	885
873	6090	878
874	6097	871
875	6104	864
876	6111	857
877	6118	850
878	6125	843
879	6132	836
880	6138	829
881	6145	822
882	6152	815
883	6159	808
884	6166	801
885	6172	794
886	6179	787
887	6186	780
888	6193	773
889	6200	766
890	6207	759
891	6213	752
892	6220	745
893	6227	738
894	6234	731
895	6241	724
896	6248	717
897	6255	710
898	6262	703
899	6269	696
900	6276	689
901	6282	682
902	6290	675
903	6297	668
904	6304	661
905	6310	654
906	6317	647
907	6325	640
908	6331	633
909	6338	626
910	6345	619
911	6352	612
912	6359	606
913	6366	599
914	6373	592
915	6380	585
916	6387	578
917	6394	571
918	6401	564
919	6409	557
920	6416	550
921	6423	543
922	6431	536
923	6438	529
924	6445	522
925	6452	515
926	6459	508
927	6467	501
928	6474	494
929	6481	487
930	6488	480
931	6495	473
932	6502	466
933	6508	459
934	6515	452
935	6523	446
936	6529	439
937	6536	432
938	6543	425
939	6550	418
940	6557	411
941	6564	404
942	6571	397
943	6578	390
944	6584	383
945	6591	376
946	6598	369
947	6605	362
948	6612	355
949	6619	348
950	6626	341
951	6633	334
952	6640	327
953	6647	320
954	6653	313
955	6660	306
956	6667	299
957	6674	292
958	6680	285
959	6687	278
960	6694	271
961	6701	264
962	6708	257
963	6714	250
964	6721	243
965	6728	236
966	6735	229
967	6742	222
968	6749	215
969	6756	208
970	6763	201
971	6769	195
972	6777	188
973	6784	181
974	6791	174
975	6797	167
976	6805	160
977	6811	153
978	6818	146
979	6825	139
980	6832	132
981	6839	125
